freq,psd_x,psd_y,psd_z,psd_xyz
0.0,6.918e+02,8.354e+01,1.191e+01,7.873e+02
1.6,7.841e+02,9.635e+01,3.557e+01,9.161e+02
3.1,6.580e+02,7.070e+01,3.985e+01,7.685e+02
4.7,9.498e+02,6.229e+01,3.664e+01,1.049e+03
6.2,1.778e+03,5.958e+01,3.951e+01,1.877e+03
7.8,2.524e+03,6.459e+01,4.154e+01,2.630e+03
9.4,3.352e+03,6.972e+01,4.267e+01,3.464e+03
10.9,4.355e+03,6.859e+01,3.851e+01,4.462e+03
12.5,5.510e+03,6.350e+01,4.047e+01,5.614e+03
14.0,6.930e+03,6.465e+01,4.085e+01,7.035e+03
15.6,8.427e+03,6.603e+01,3.775e+01,8.531e+03
17.2,1.041e+04,6.995e+01,4.006e+01,1.052e+04
18.7,1.237e+04,7.013e+01,4.438e+01,1.248e+04
20.3,1.430e+04,9.226e+01,4.866e+01,1.444e+04
21.8,1.585e+04,1.400e+02,5.559e+01,1.605e+04
23.4,1.721e+04,1.568e+02,5.422e+01,1.743e+04
25.0,1.835e+04,1.378e+02,6.088e+01,1.855e+04
26.5,2.033e+04,1.133e+02,6.412e+01,2.051e+04
28.1,2.266e+04,1.102e+02,6.271e+01,2.283e+04
29.6,2.474e+04,1.189e+02,6.054e+01,2.492e+04
31.2,2.842e+04,1.201e+02,5.913e+01,2.860e+04
32.8,3.193e+04,1.149e+02,5.653e+01,3.210e+04
34.3,3.457e+04,1.145e+02,5.022e+01,3.473e+04
35.9,3.858e+04,1.066e+02,4.796e+01,3.874e+04
37.4,4.338e+04,1.071e+02,4.659e+01,4.354e+04
39.0,4.786e+04,1.327e+02,4.476e+01,4.804e+04
40.5,5.078e+04,1.396e+02,4.020e+01,5.096e+04
42.1,5.280e+04,1.483e+02,3.867e+01,5.298e+04
43.7,5.959e+04,1.946e+02,4.509e+01,5.983e+04
45.2,6.732e+04,2.973e+02,6.201e+01,6.768e+04
46.8,7.329e+04,4.268e+02,7.759e+01,7.379e+04
48.3,7.922e+04,5.503e+02,7.770e+01,7.985e+04
49.9,8.486e+04,7.685e+02,8.320e+01,8.571e+04
51.5,8.842e+04,1.291e+03,1.145e+02,8.982e+04
53.0,8.572e+04,1.947e+03,1.667e+02,8.784e+04
54.6,8.616e+04,2.844e+03,2.300e+02,8.924e+04
56.1,9.488e+04,4.258e+03,3.263e+02,9.946e+04
57.7,1.048e+05,6.679e+03,4.505e+02,1.119e+05
59.3,1.161e+05,1.129e+04,6.157e+02,1.280e+05
60.8,1.319e+05,1.607e+04,7.157e+02,1.487e+05
62.4,1.488e+05,1.932e+04,1.037e+03,1.692e+05
63.9,1.658e+05,2.613e+04,2.030e+03,1.940e+05
65.5,1.790e+05,3.391e+04,3.708e+03,2.166e+05
67.1,1.818e+05,3.081e+04,4.563e+03,2.171e+05
68.6,1.825e+05,1.787e+04,3.488e+03,2.039e+05
70.2,1.890e+05,7.850e+03,2.223e+03,1.991e+05
71.7,1.931e+05,3.861e+03,1.586e+03,1.986e+05
73.3,1.911e+05,3.811e+03,1.270e+03,1.962e+05
74.9,1.870e+05,9.898e+03,1.223e+03,1.981e+05
76.4,2.028e+05,1.661e+04,1.001e+03,2.205e+05
78.0,2.215e+05,1.876e+04,7.706e+02,2.410e+05
79.5,2.440e+05,1.655e+04,8.637e+02,2.614e+05
81.1,2.742e+05,1.329e+04,1.406e+03,2.889e+05
82.7,3.171e+05,1.076e+04,2.879e+03,3.307e+05
84.2,3.652e+05,9.289e+03,5.391e+03,3.799e+05
85.8,4.202e+05,1.354e+04,8.898e+03,4.427e+05
87.3,4.789e+05,3.089e+04,1.356e+04,5.234e+05
88.9,5.324e+05,6.582e+04,2.095e+04,6.192e+05
90.5,5.914e+05,1.206e+05,3.301e+04,7.450e+05
92.0,6.548e+05,1.773e+05,3.107e+04,8.632e+05
93.6,7.007e+05,2.054e+05,1.582e+04,9.220e+05
95.1,7.644e+05,2.279e+05,5.253e+03,9.976e+05
96.7,8.363e+05,2.528e+05,2.543e+03,1.092e+06
98.3,9.405e+05,3.151e+05,5.820e+03,1.261e+06
99.8,1.036e+06,3.731e+05,9.671e+03,1.419e+06
101.4,1.118e+06,3.890e+05,1.360e+04,1.521e+06
102.9,1.214e+06,3.863e+05,1.792e+04,1.618e+06
104.5,1.329e+06,3.869e+05,2.302e+04,1.739e+06
