freq,psd_x,psd_y,psd_z,psd_xyz
0.0,1.690e+02,6.863e+03,2.712e+02,7.303e+03
1.6,3.594e+02,3.996e+03,1.844e+02,4.540e+03
3.1,3.162e+02,2.417e+02,4.495e+01,6.029e+02
4.7,4.631e+02,6.142e+02,5.420e+01,1.132e+03
6.2,4.498e+02,1.527e+03,5.077e+01,2.028e+03
7.8,4.294e+02,2.313e+03,5.328e+01,2.796e+03
9.4,4.061e+02,3.192e+03,5.121e+01,3.649e+03
10.9,4.093e+02,4.304e+03,5.327e+01,4.767e+03
12.5,4.118e+02,5.676e+03,5.634e+01,6.144e+03
14.0,4.321e+02,7.241e+03,5.848e+01,7.732e+03
15.6,4.743e+02,9.249e+03,6.565e+01,9.789e+03
17.2,4.450e+02,1.097e+04,7.556e+01,1.149e+04
18.7,3.998e+02,1.164e+04,7.651e+01,1.211e+04
20.3,3.598e+02,1.224e+04,7.507e+01,1.267e+04
21.8,3.880e+02,1.465e+04,7.756e+01,1.512e+04
23.4,4.316e+02,1.777e+04,7.370e+01,1.828e+04
25.0,4.742e+02,2.031e+04,6.695e+01,2.085e+04
26.5,4.945e+02,2.356e+04,5.881e+01,2.411e+04
28.1,4.877e+02,2.670e+04,5.458e+01,2.725e+04
29.6,4.762e+02,2.924e+04,5.314e+01,2.977e+04
31.2,5.127e+02,3.314e+04,5.837e+01,3.371e+04
32.7,5.690e+02,3.576e+04,8.161e+01,3.642e+04
34.3,6.593e+02,3.798e+04,1.213e+02,3.876e+04
35.9,7.903e+02,4.491e+04,1.364e+02,4.583e+04
37.4,9.534e+02,5.271e+04,1.340e+02,5.379e+04
39.0,1.035e+03,5.832e+04,1.459e+02,5.950e+04
40.5,9.766e+02,6.071e+04,1.971e+02,6.188e+04
42.1,1.084e+03,6.134e+04,2.686e+02,6.269e+04
43.7,1.249e+03,6.654e+04,3.922e+02,6.818e+04
45.2,1.357e+03,7.300e+04,5.861e+02,7.494e+04
46.8,1.363e+03,8.088e+04,8.744e+02,8.311e+04
48.3,1.513e+03,8.910e+04,1.457e+03,9.207e+04
49.9,1.968e+03,9.502e+04,2.387e+03,9.937e+04
51.5,2.638e+03,9.515e+04,3.790e+03,1.016e+05
53.0,2.830e+03,8.396e+04,5.449e+03,9.224e+04
54.6,2.743e+03,7.298e+04,8.460e+03,8.418e+04
56.1,3.156e+03,6.639e+04,1.526e+04,8.480e+04
57.7,3.681e+03,6.481e+04,2.943e+04,9.792e+04
59.3,4.282e+03,9.367e+04,5.459e+04,1.525e+05
60.8,5.654e+03,2.756e+05,1.176e+05,3.989e+05
